Lemma	Semantiskâ_kat_1	Kandidâts	Semantiskâ_kat_2	Paskaidrojums	Bieþums	Tips	Grupa	Manuâla pârbaude		Kopâ	
sliecinât	Bût stâvoklî	sliecinâjums	Stâvoklis	pievienota atvasinâjuma sufikss -âjums pie darbîbas vârda saknes	0	F	J	T			
aizstâjeklis	Abstrakts nojçgums	aizstâjekïa	Saistîts ar nosaukto	pievienota piedçkïa -a forma, lai apzîmçtu 'saistîtu ar aizstâjekli' îpaðîbas vai piederîbu	0	F	J	F			
aizstâjeklis	Abstrakts nojçgums	aizstâjeklisks	Saistîts ar nosaukto	pievienota sufiksa -isks forma, lai apzîmçtu îpaðîbas, kas piemît aizstâjeklim	0	F	J	T			
aizstâjeklis	Abstrakts nojçgums	aizstâjeklîgs	Saistîts ar nosaukto	pievienota sufiksa -îgs forma, lai apzîmçtu îpaðîbas, kas ir lîdzîgas aizstâjeklim	0	F	J	T			
tçrbstît	Darît	tçrbstîtava	Vieta (lietv)	darbîbas vârda 'tçrbstît' celmam pievienota vietu apzîmçjoðâ sufiksa '-ava' galotne.	0	F	N	T			
plakstule	Priekðmets	plakstuïnîca	Ietver nosaukto	nepiecieðams pievienot sufiksu -nîca sievieðu dzimtes 1. deklinâcijas formai, kas norâda vietu, kur atrodas vai tiek glabâtas plakstules	0	F	N	F			
plakstule	Priekðmets	plakstuïkaste	Ietver nosaukto	nepiecieðams pievienot vârdu 'kaste' kâ salikteòa otro daïu, veidojot vârdu, kas apzîmç priekðmetu, kurâ ietver vai glabâ plakstules	0	F	N	F			
glimþçt	Bût procesâ	glimþçðana	Process	Verba pârvçrðana substantîvâ, pievienojot sufiksu -ðana	0	F	N	T			
glimþçt	Bût procesâ	glimþçðanâs	Process	Verba pârvçrðana substantîvâ ar reflexîvo nozîmi, pievienojot priedçkli -s- un sufiksu -ðanâs	0	F	N	D			
skurpelîgs	Bût stâvoklî	skurpelîgums	Stâvoklis	Pievienota lietvârdu veidoðanas galotne -ums pie îpaðîbas vârda pamatnes, lai norâdîtu uz stâvokli.	0	F	N	T			
skurpelîgs	Bût stâvoklî	skurpelîba	Stâvoklis	Pievienota lietvârdu veidoðanas galotne -îba pie îpaðîbas vârda pamatnes, lai norâdîtu uz stâvokli.	0	F	N	F			
zvilgsme	Abstrakts nojçgums	zvîgsminieks	Saistîts ar nosaukto	pievienota sufiksa -niek- forma, kas nozîmç personu, kas ir saistîta ar 'zvilgsmi'.	0	F	N	F			
zvilgsme	Abstrakts nojçgums	zvîgsminiecisks	Saistîts ar nosaukto	pievienots sufikss -niecisks, kas norâda uz îpaðîbu, kas saistîta ar 'zvilgsmi' vai 'zvîgsminieku'.	0	F	N	F			
